Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,density,numberOfCheckPoints,cellularIterations,height,width,0,0,1,0,0,2,0,0,3,0,1,1
2,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,35,1
3,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
4,density,numberOfCheckPoints,cellularIterations,height,width,21,19,3,34,35,3,33,28,2,19,28,0
5,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
6,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,1,0,0,0,0,4096,20
7,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,5752,25
8,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,52,0
9,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,21,0
10,density,numberOfCheckPoints,cellularIterations,height,width,0,0,1,0,0,0,0,0,0,0,6719,31
11,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,28,26,1,28,26,2,19,19,0
12,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
13,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
14,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,28,26,2,28,26,2,19,19,0
15,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,32,30,2,32,30,5,19,19,0
16,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
17,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,19,19,0
18,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
19,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,28,26,2,28,26,2,19,19,0
